clean_text,label
i hate when my mom wants to watch the news for hrs because there a tornado coming like dang its just some damn rain,Non-Informative
prays for all of the victims of earthquakestornados other disasters,Non-Informative
tornado could be embedded in rain in pawhuska take cover now,Informative
nothing like running from a tornado after getting back in the states,Non-Informative
concern about the tornado in oklahhoma andplease god please,Non-Informative
powerful tornado on the ground and pointed right towards my alma mater in okc please pray and rt,Informative
are we under a tornado watch,Non-Informative
gotta love tornado season,Non-Informative
watching cnns tornado coverage praying for my friend,Non-Informative
gettin ready for this tornado,Non-Informative
tornado sirens going off here in denton near unt,Informative
if pulse cannot be found on wrists victim is in decompensated shock get medical help immediately,Informative
outbreak continues as storms begin to develop down towards the dallasft worth metroplex,Informative
joplin missouri where at least 124 died sunday under watch,Informative
tornado warning for dallas and tarrant county in tx until 845pm cdt,Informative
looks like a bookend vortex continues to push across osage co squall line has formed moving into e ok but tornadoes still possible,Informative
its official were under a tornado watch,Informative
frisco tx thunder rumbling sky is greenish no rain yet scary,Informative
fuck this tornadono cable no game,Non-Informative
so as im sitting in my bathtub im thinking how thankful i am that i cleaned the bathroom today,Non-Informative
crazy tornado blew through just outside the gates at my parents house,Informative
this is just not the type of communityto let a little f4 tornadokick our assso we will rebuild we will recover,Non-Informative
please for the animals affected by tornadoes pets wildlife all,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
can cox seriously turn off your dvr during a tornado warning,Non-Informative
please pray for those in the path of this huge tornado in oklahoma,Non-Informative
ok kc is now under a tornado watch,Informative
zeta beta tau fraternity at launching relief efforts in,Informative
if a tornado comes it need to hit the view,Non-Informative
this blepen tornado killing us my god,Non-Informative
several power poles snapped a warehouse w some damage atjust south of exit 120 on i35,Informative
tonights show in fayetteville arkansas has been cancelled due to a tornado warning should be very exciting,Informative
ardmore ok under the gun soon take cover,Informative
pizza the post tornado cigarette,Non-Informative
north texans if you get a warning thunderstorm or tornado get to shelter on the double these storms will develop,Informative
explosion at a gas processing facility west of el reno ok from violent tornado,Informative
joplin missouri where at least 124 died sunday under watch,Informative
britt britt i was afraid lastnite that u was coming to bmore by way of tornado lmao,Non-Informative
tornado relief house panel proposes provision for disaster aid,Informative
explosion at a gas processing facility west of el reno ok from violent tornado,Informative
is ur tornado watch over,Non-Informative
weatherwise i will absolutely take michigans february blizzards over spring tornado outbreaks and floods any day,Non-Informative
khejuri storm kills 2 razes 500 houses two persons were killed and hundreds of houses flattened when a tornado,Informative
pleeease dont die in a tornado,Non-Informative
tornado outbreak for the oklahoma tucker house is over we have been blessed with no damage however not true for everyone,Non-Informative
mid tornado mid anxiety attack,Non-Informative
yo but this tornado shit,Non-Informative
45000 without power in ok,Informative
i have to admit i do however i was locked out side during a small tornado back in 95 i was 8 12 months preggers with the boys,Non-Informative
praying 4 family storm prediction center issues tornado watch for western missouri extreme eastern kansas,Informative
cell of particular danger is the one above admore looks like a on the ground to me seek shelter n,Informative
if you live along the wise parker and tarrant lines take shelter for this possible tornado,Informative
yes yes she did she found it in a field after the tornado,Non-Informative
david has told me that he has some incredible video of the shawnee ok tornado from 50100 yds away will be up as soon as i get it,Non-Informative
lets all pray 4 everyone in around tornado alley thats being affected by that crazy weather,Non-Informative
new tornado warning issued for joplin mo,Informative
last one already have dvr set we are moving to tornado closet here,Non-Informative
another tornado not gonna happen in joplini am willing it away,Non-Informative
um this tornado alert interruption thing better get off my tv so i can watch american idol,Non-Informative
my parents are worried about the tornado im worried about the heat vs bulls game,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
tornado on the ground in springtown just west of azle stay alert its close come to irving i have,Informative
expect straight line winds in tulsa along with tornado threat,Informative
i have heard some sad stories about the tornado in joplin and it breaks my heart too see the families suffering,Non-Informative
please pray for the tornado victims please,Non-Informative
just spoke wmy big brother my greatnephew both in both ok for now but is flying tonight,Non-Informative
please pray for the tornado victims please,Non-Informative
please pray for the tornado victims please,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
tornado is also fierce just a hair more obedient all plakat are very individual typhoon is a loose cannon compared to those 2,Non-Informative
please pray for the tornado victims please,Non-Informative
were the heading toward the southeast us were supposed to get severe storms tonight but i havent heard tornado i hope not,Non-Informative
going live on breaking news re multiple deaths in as new tornado strikes plus incredible survival sto,Informative
joplin missouri where at least 124 died sunday under watch,Informative
please pray for the tornado victims please,Non-Informative
developing rt amateur radio reports several homes damaged by tornado in springtown tx parker co,Informative
please pray for the tornado victims please,Non-Informative
desastres ambientais em curso no mundo vulcãƒâœã‚â£o ativo islãƒâœã‚â¢ndia tornado desvastador eua cãƒâœdigo florestal brasil,Non-Informative
please pray for the tornado victims please,Non-Informative
please pray for the tornado victims please,Non-Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
if you live in northern tarrant county stay alert a tornado may be on the ground near azle its moving east at 40mph,Informative
a tornado warning has been issued for tarrant dallas counties until 845pm,Informative
tornado warning for dallas and tarrant county in tx until 845pm cdt,Informative
please pray for the tornado victims please,Non-Informative
tornado warning for sw atoka nw bryan and se johnston counties until 845 pm,Informative
tornado warning for ellsworth and lincoln county in ks until 830pm cdt,Informative
the tornado will hit your house since you spelled those words like that,Non-Informative
please pray for the tornado victims please,Non-Informative
tornado warning extended into dallas county expects storm to head east,Informative
have to save phone battery in case tornado so no tonight yall have fun,Non-Informative
please pray for the tornado victims please,Non-Informative
tornado pictured in chickasha ok,Informative
mais um tornado,Non-Informative
please pray for the tornado victims please,Non-Informative
please pray for the tornado victims please,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
joplin missouri where at least 124 died sunday under watch,Informative
please pray for the tornado victims please,Non-Informative
please pray for the tornado victims please,Non-Informative
please pray for the tornado victims please,Non-Informative
axioms for liberty ok tornado outbreak may 242011 kaye beach may 24 2011 i just,Informative
please pray for the tornado victims please,Non-Informative
just posted gallery of 57 aerial photos showing the breadth of destruction from the tornado,Informative
warning for tarrant and dallas counties significant tornado and 5 inch hail possible,Informative
757 chautauqua and montgomery counties in kansas are now under a tornado warning,Informative
please pray for the tornado victims please,Non-Informative
one step ahead of you rt please pray for the tornado victims please,Non-Informative
ready for tornado season to be over with,Non-Informative
strong coming up i44 to normanmooreokc i35 is jammed get off the highway,Informative
rt red cross in enid responding to support first responders at canadian valley trailer park at canton lake,Informative
please pray for the tornado victims please,Non-Informative
please pray for the tornado victims please,Non-Informative
deja tornado en eu 122 muertos y mil 500 desaparecidos,Non-Informative
praying my brother and his family stay safe through the tornado,Non-Informative
everyone here in southlake the tornado sirens are going off please please please everyone get safe immediately,Informative
multiple reports in tarrant county heading at dfw airport,Informative
tornado warning issued for parts of ellsworth lincoln counties in ks until 0830 pm ct,Informative
i dont appreciate this tornado watch announcement,Non-Informative
multiple reports in tarrant county heading at dfw airport,Informative
engga hhe rame ga rt iya tadi din hehe tadi disitu juga rt di dufan des rt histeria tornado,Non-Informative
another tornado on the ground near haslet,Informative
at 02bst breaking news from hit by tornado ap reporting 4 dead reports of explosions in,Informative
please pray for the tornado victims please,Non-Informative
please pray for the tornado victims please,Non-Informative
circulation of storm is approaching tushka atoka area currently no tornado sighted but take tornado precautions now,Informative
please pray for the tornado victims please,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
please pray for the tornado victims please,Non-Informative
be safe i hate being alone during a tornado watch,Non-Informative
im having ice cream tonight and its notskinny cow because theres a tornado coming and i may die good attitude mom,Non-Informative
new tornado warning for ne tarrant co and much of dallas co until 845 tornado near saginaw moving ese 40 ma,Informative
joplin missouri now under new tornado watch til 3am cdt,Informative
clip up ctown its tornado time,Non-Informative
everyone pray for the tornado victims prayit works,Non-Informative
lord pray for those thats experiencing the tornado,Non-Informative
national weather service tornado outbreak unfolding from north texas to nebraska,Informative
hope everyone in the area is safe,Non-Informative
tornado watch for joplin mo,Informative
sitting outside on da porch on da phone on da laptop in ah mini tornado lmfaooo,Non-Informative
tornado warnings along ncvirginia border cantor i hope mother nature treats your constituents better than youre treating,Informative
tornado warnings along ncvirginia border cantor i hope mother nature treats your constituents better than youre treating,Informative
tornado warning now in creek county pray for my parents theyre in creek county uh oh were under tornado warning t,Informative
okemah seek shelter this storms is heading ene and could produce a very soon very strong low leve,Informative
you scarin me with all these tornado retweets lol,Non-Informative
all these tornado thingies are interfering with my novela d,Non-Informative
tornados over time to go out for dinner with the fam and the emdes,Non-Informative
funnel near fairview moving east tornado on the ground near azle debris spotted,Informative
tornado reported 2 miles west of azle tx this is to the northwest of ft worth radar warning info,Informative
cashion debris found in perry thats insane,Informative
okaaay they just interrupted ai because of tornado watch ill catch up,Non-Informative
poor megan shes so close to the tornado,Non-Informative
just realized the only shirts in my tornado bag were and ones lol,Non-Informative
if you saw and my conversation about the tornado coverage youd unfollow us for the horrid heartless people we are,Non-Informative
report from school that shatter proof glass was bowing out from inside the school,Informative
gt lets all b joining our faith praying 4 lora deans hometown joplin which is bracing 4 anoth,Non-Informative
hahaa i wanna see you fight a tornado xd,Non-Informative
hey you guys ok i see there is a tornado warning in your area,Non-Informative
i hate tornados so glad my fam is ok still sad my thunder lost last night but its alright i still,Non-Informative
holy shit tornado sirens just went off in the middle of dinner,Informative
praying for oklahoma bless their hearts,Non-Informative
we are safe our home is safe friends family are safe but so many others are not prayers for the victims of tornados fury,Non-Informative
everone please pray for all the people in tornado areas,Non-Informative
tornado reported in denton county texas near i35 w and fm 407,Informative
glad to hear it did your area have a tornado we had some terrible storms here last night scary stuff,Non-Informative
please pray for the tornado victims please,Non-Informative
three small children missing in a oklahoma town they got separated from their family as the tornado came through the,Informative
much of ok is under tornado watches please stay safe seek shelter and keep tuned to emergency information,Informative
omg my heart is with everybody that was affected by the tornado,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
horray for you coming to dallas have a safe flight there are tornado warnings be careful we want you here safe lt3 you,Non-Informative
mother nature give a damn break,Non-Informative
woo its windy out here comes the tornado sn i should do pantene or garneir fructis commercials,Informative
in the aftermath of the tornado im so very thankful my loved ones are safe,Non-Informative
issues tornado warning for atoka bryan johnston ok till 845 pm cdt,Informative
threat accelerated 2 hours from now right now damaging winds and hail appear to be biggest threat,Informative
lol sorry bro been on my phone alot since a tornado went thru my hometown,Non-Informative
awful news rt joplin missouri where at least 124 died sunday under watch,Informative
sirens started going off tornado has officially touched down in my hometown super worried about my family right,Informative
everything good with me buddy are things ok in shawnee tornado touched down very close to there,Non-Informative
is prayng for everyone around the country with this tornado outbreak going on,Non-Informative
confirmed tornado just northwest of fort worth,Informative
thunder is increasing and getting louder here in catoosa,Informative
rescuers searched for survivors after the state of missouri was hit with the worst ever recorded tornado in us,Informative
dear could you stop with the whole bit im so over it,Non-Informative
wow watching cnn and just watched a tornado take out an 18 wheeler,Informative
no more tornado time for braums ice cream line is packed,Non-Informative
its getting scary out there nowadays theres always a tornado hurricane or earthquake oo,Non-Informative
you are gonna have to ship me some new gap undies is that a tornado forming,Non-Informative
tornado on the ground in reno tx between azle springtown get inside be safe,Informative
tornado season,Non-Informative
my wifes aunt survived sundays tornado in joplin by getting between her bed and the wall nothing left of her apartment a brick duplex,Non-Informative
please pray for the tornado victims please,Non-Informative
take shelter the tornado just hit friscoplano area,Informative
relatives lose everything in tornado,Non-Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
just in tornado watch issued for eastern kansas and western missouri area includes missou,Informative
gainseville texas tornado warning,Informative
libs should be helping supporting the tornado vicims not exploiting them for their political views regarding global warming,Non-Informative
que dios te bendiga que miedo es en cerio que va a haber un tornado,Non-Informative
apparently drove through the rain wrapped tornado while heading home through noble thank you hail not,Informative
please pray for the tornado victims please,Non-Informative
a multi vortex tornado is scarier than a tsunami,Non-Informative
had several adult beverages duringafter the tornado,Non-Informative
holy shit the tornado that hit joplin was officially classified as an f5 w sustained winds of 340 kmh o,Informative
absolutely fantastic coverage with your coverage watching from central massachusetts my prayers are with you,Non-Informative
tulsa area start taking precautions now the storm is closing in on the metro area stay safe dont take chances,Informative
tornado face indeed,Non-Informative
please pray for the tornado victims please,Non-Informative
oh sht watch here in lake dallas the siren just came on,Informative
please pray for the tornado victims please,Non-Informative
waitare you still on a tornado watch,Non-Informative
eeuu al menos 122 muertos y 750 heridos por tornado en misuri,Non-Informative
watching american idol and hoping that tornado warned storms miss us,Non-Informative
tornado warning denton people take cover tho real t its suppose to come through yall soon god bless pray to moloch asap,Informative
yes we are in tornado season big line of storms still heading east thru the state,Informative
threat accelerated 2 hours from now right now damaging winds and hail appear to be biggest threat,Informative
god bless us all here in ardmore a tornado is coming i love u all,Non-Informative
tornado warning,Informative
man that tornado was crazy,Non-Informative
tornado warning,Informative
please pray for the tornado victims please,Non-Informative
we are officially on tornado warning here pray for us check in when its over recon and out,Non-Informative
tornado warning,Informative
f a tornado team we still got pick up at 10 tonight,Non-Informative
speaking of just got an email from a reader in the tornado path,Non-Informative
tornado has touchdown damn,Non-Informative
that killed 122 in joplin missouri was ef5 with top winds of 200 mph,Informative
these tornado warnings here gon get on my nerves,Non-Informative
and for my missing friend,Non-Informative
tornado reported 2 miles west of azle tx this is to the northwest of ft worth radar warning info,Informative
ohaha engga aib kali caaaal rt itu yg di tornado,Non-Informative
so how have these tornados gotten so bad its it freak weather conditions is it in the area known as tornado ally,Non-Informative
tornado coming going to the cellar,Informative
so sorry for tornado victimsheart goes out,Non-Informative
new horror in as at least two people die when twisters hit rush hour traffic,Informative
golly more nasty tornados,Non-Informative
well goodbye everybody,Non-Informative
tornado party at my house,Non-Informative
wow just emerged from hotel basement in oklahoma city tornado hits all around here happy to be safe please be safe out there,Informative
saginaw haslet eagle mountain lake take cover tornado on the ground,Informative
omg lol no foo rt when it rains during a tornado does that make it a hurricane scratches head,Non-Informative
damaging wind threat coming into tulsa ok,Informative
i love youyou better not die in a tornado or i will kill you lt3,Non-Informative
tornado warning for mitchell county in ks until 815pm cdt,Informative
me rt if a tornado comes i dont know who i can call,Non-Informative
grilling burgers n a lil scared bout this tornado watch,Non-Informative
hiding tornado down,Informative
glad your all fine my thoughts and prayers go out to all in the flood areas gt gt gt,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
new tornado watch just issued for triangle and ne nc,Informative
aw i feel badhes in a tornado,Non-Informative
seems like youre really in tornado alley this week,Non-Informative
man oh man enough with the tornadoes leave us alone already praying for still praying for and the south,Non-Informative
sand springs is getting slammed right now,Informative
tonights going to be filled with xbox food and a bunch of thunder maybe a few tornados in the mix s,Non-Informative
when u gonna tell more of your tornado victim jokes cocksucker,Non-Informative
please pray for the tornado victims please,Non-Informative
saginaw haslet eagle mountain lake take cover tornado on the ground,Informative
prayin for as more tornadic storms head there way i wish there was something i could do to help these people,Non-Informative
tornadosevere outbreak continues midweek via,Informative
praying for the tornado victims,Non-Informative
asustada ay un mega tornado ke viene para donde vivo esstan las alarmas a todo lo ke da omg oo estaba en un concierto de violin de mi hija,Non-Informative
taking a shower be for the tornado just wanna feel fresh,Non-Informative
i feel safe until they start mentioning these damn tornado warnings,Non-Informative
rotation is right over our apt and the tornado siresn are going off ill be back later,Informative
glad your all fine my thoughts and prayers go out to all in the flood areas,Non-Informative
please let dis tornado stay away from here cuz im gonna get n da car n haul ass 2 da north,Non-Informative
northwest tarrant county sirens are going off due to a tornado on the ground near springtown moving east at 40mph,Informative
in the mood for a good tornado scare in that one back in 2000 in arlington,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
sirens went off there was a tornado on the ground a few miles away,Informative
please pray for the tornado victims please,Non-Informative
tornado kay i love you guys bye,Non-Informative
my heart goes out to all of the victims its crazy that in less than 5 mins everything you worked for can be taken away,Non-Informative
i swear if hail ruins my car or a tornado takes away my apartment imma cut a bitch,Non-Informative
ill guess youll say what can make me feel this way the tornado literally dissipated two streets south of my house,Informative
if you are in bedford take cover tornado on top of you right now rshade,Informative
tornado warnings for denton and wise counties until 815pm take cover now rshade,Informative
please pray for the tornado victims please,Non-Informative
kate i discussing where in our house wed shelter if a tornado hit sydenham given how rammed our stairs cupboard is conclusion fucked,Non-Informative
tornado in parker moving into denton and tarrant going to drop sw and try to get behind it,Informative
3se of springtown ok,Informative
medical examiner 4 dead in oklahoma tornadoes a broad tornado has blown through the oklahoma city metropolita,Informative
sky is looking a greenish colorand there is a steady rumble of thunder its on a dead line for usand we are under tornado warning,Informative
glad i moved from tornado alley,Non-Informative
there is now a tornado 3 miles se of springtown with debris on the ground get to your storm shelter immediately r,Informative
lets go tornado watching,Non-Informative
really oh gosh i hope he is ok and everyone else down there too im glad ive never had to see a tornado,Non-Informative
yo this tornado shit bout to pop off b i want no parts but im outside watching tho,Non-Informative
praying for the people caught up in the tornado everyone if that is all you can do lt3,Non-Informative
dangerous storm passing through dallasft worth metroplex large hail and tornado threat warning info radar,Informative
ainda esperando pelo tornadomas td na paz,Non-Informative
strong winds from the west encouraging the multiple tornadoes leaving ok and enterning moabout 83 of mo is under tornado watch,Informative
itu yg di tornado,Non-Informative
glad to hear everyone at is ok after the tornado you ok,Non-Informative
please pray for the tornado victims please,Non-Informative
watching dancing wthe stars finals praying 4 tornado victims and u dear,Non-Informative
the meteorologist encouraged people not to go take pictures of the tornado then asked for people to send them in if they do,Non-Informative
way 2 go joe rt raised more than 35k for in a matter of hours thats my station im so proud,Non-Informative
my editor says shes heard reports of possible tornado activity nw of azle but nothing showing up on radar inside the loo,Informative
aaaand there go the tornado sirens better hole meself up in de bathroom p,Informative
if you are in bedford take cover tornado on top of you right now rshade,Informative
denton take shelter possible tornado just to the west of where i35w and i35e meet,Informative
oh shit take cover rt oh fuck tornado sirens in my area,Informative
chillin on the patio i love rain without the tornados,Non-Informative
another tornado on the ground near haslet,Informative
dangerous storm passing through dallasft worth metroplex large hail and tornado threat warning info radar,Informative
tornado arrasãƒâœ una ciudad de misuri,Non-Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
joplin missouri where at least 124 died sunday under watch,Informative
of course amazon pays for me to go on a trip and they send me into the heart of tornado alley during a tornadobusy week,Non-Informative
tornado warning im home aloneif i hear sirensmannnnnnnn,Non-Informative
yesterday was supposed to be 70 and sunnycold and rain today was supposed to be 90 and sunny guess what tornado warning,Informative
please follow my friends they do a great job at providing valuable info for donors and victims of,Informative
my house was blown away by a tornado but a famous person just d something about my town who needs a house,Informative
holding emergency blood drive from 27 pm at gkc chapter 211 w armour blvd kcmo join us in helping joplin,Informative
everybody on the campus of the university of oklahoma should be in a tornado safe place now,Informative
almyra arkansas tornado about to hit the ground,Informative
help mo reading ks pls to support text redcross to 90999 or visit redcrossorg,Informative
i hear the tornado sires going off now buildings in downtown kansas city being evacuated now tornado warning,Informative
tornado is gone and woman is assessing the damage to her house and still can barely stand because of the wind,Informative
helping a family hit by tornado 5310 s western come join us look for the orange tshirt by the driveway on west side of road,Informative
incredible video tears through oklahoma,Informative
obama visits tornadoravaged joplin renamed hospital reopens president barack obama visited tattered joplin m,Informative
niggas wanna text me talkin bout whats up what u doin and im bout to be in a tornado lol suck a dick bitch nigga,Non-Informative
tornado headed toward us were closing down for a while,Informative
oh god no stupidgtâ€œ westboro church is going to protest in thats too disgusting to even believeâ€,Non-Informative
its a tornado out here lol trees falling down and shxt i gotta get out the countrythis typa shxt dont happen in new york lol,Informative
update has dementia pls find him charles writer patient at,Non-Informative
tornado watch and already thunder lightening and a splitting headache what fun lies ahead upstate ny,Informative
tornado on the ground less than 5 miles away guys on the ground in bedford seek shelter immediately,Informative
this footage of the mass tornado sucking up water from the connecticut river is ridiculously terrifying,Informative
has been cancelled more severe weather expected in the area tonight potentially severe st,Informative
possible on the ground near ohio city cell has very strong low level rotation seek shelter follow 4 updates,Informative
i was just in springfield last week and now im hearing a tornado hit,Non-Informative
tornado warning,Informative
please help find will norton please email all leads to findwillnortoncom or call 757 751 will9455,Non-Informative
you can help us respond in continue our work in other states txt redcross to 90999 or online,Informative
tornado survivors in joplin mo will be getting quilts from shop in victor,Informative
im pretty sure thats the tornado siren,Informative
murfreesboro pd confirming a tornado touchdown in rutherford county the storm is really cranking up here in the lascassas pike area,Informative
tornado alarms blasting in the city and all im thinking is yippeee i still have internet connection,Informative
take cover dallas damage in dallas county near eagle ford tx repos of large on ground,Informative
tornado on ground in southern dallas county,Informative
emergency crews flying down highway toward springfield at an alarming rate wish i stayed for the second,Informative
lol so there is a tornado warning outside n im at work,Informative
all our thoughts n prayers go out to the tornado victims of ok ar n tx,Non-Informative
tornado heading up nall into leawood this is far too close for comfort yikes im seriously scared,Informative
alabama tornado relief in 101 heat so rewarding not your average saturday htt,Informative
it was a tornado in gb but its gone now wht tornado,Informative
after hearing the tornado sirens pastor daniel just told all the staff to go hide downstairs before leaving in his tiny red car,Informative
you can make a donation via text to the salvation armys tornado relief in massachusetts a 10 minimum donation,Informative
tornado watch upgraded to warning in ctrl oxfd cty wther svc severe thunderstorm capable of producing a tornado 11 miles west of bethel,Informative
driving it appears my area got hit the worst tornado in my backyard next street over shut down w fire trucks and caution tape,Informative
is that the ice cream truck no wait shit thats a tornado warning siren,Informative
theres a tornado warning around my area,Informative
tornado warning,Informative
no more tornado,Non-Informative
if ing warnings note the time of the original tweet or information dont tweet old informationnot helpful,Informative
seriously if we can beat a tornado we can definitely beat some drunken hipsters,Non-Informative
wow i was just in a tornado warning but it wasnt that bad i hope it blows over fast,Informative
yes they are it looks like a tornado is coming,Informative
awesome jobs you guys are doing getting donations for the tornado victims,Informative
am i the only one whos been in a soccer game when the tornado sirens go off outta townn a tornado actually hit it was scary,Informative
the tornado damage in n minneapolis damn just glad my friends are all safe,Informative
we just passed some major tornado damage in birmingham al,Informative
rain sleet or tornado mcdonalds,Non-Informative
so i was enjoying myself watching tv then the damn tornado thing interrupted my show,Non-Informative
just drove right under a tornado formingholy shitare we home yet,Informative
yep same for us our tornado chances went down still sitting here ready to drive to safety though,Informative
today pizza hut is donating 15 of sales 2 the united way tornado disaster fund head to 23rdblackwelder pizza hut today,Informative
tornado warning issed for st joseph county sky is almost black,Informative
and now were under a tornado watch for the same storm system that hit ok,Informative
if this tweet gets 15 si will donate 15 dollars to the red cross for the tornado victims across the us d xd,Informative
wow this tornado was way closer than joplin,Informative
tornado warning and the mall on lockdown oh shit meridian goin nuts,Informative
sirens started going off tornado has officially touched down in my hometown super worried about my family right,Informative
before and after photos of wow,Informative
please be praying for everybody here in joplin tornado sirens once again,Informative
tornado headed right for the sprint headquartersdad if you see this im in hannahs basement,Informative
watch live memorial service for tornado victims in joplin mo,Informative
everything is boring an earthquake a tornado or a volcano bombs or other element can add some suspense and life to our live,Non-Informative
there is tornado warnings so we might have to go to the celler,Informative
joplin looked like some of the battles i saw in korea korean war veteran and missouri survivor says htt,Informative
were under a tornado warning and the sirens are going off like crazy i did sign up for this,Informative
winds are gusting tonight im in an area that does not get tornados but we now have a tornado watch crazy,Informative
mo released a new version of twister instead of putting your body parts on colored dots you try to find your kids,Non-Informative
back by the hospital now even more eerielooking at night,Informative
every1 should worst single tornado in 57 yrs 122 deaths counting hope it ends soon,Non-Informative
irony we have just gone from collecting relief supplies fortornado victims to taking cover in a basement from a possible tornado,Informative
come check out our autograph session to benefit tornado relief efforts 1130 am on target plaza,Informative
know someone in who needs baby food for 12 mos or younger ive got 7 cases and can deliver pls,Informative
taking cover sirens going off heading north along hwy 69,Informative
sooo my mommy makin me go out n the tornado warning an get food,Non-Informative
holy hella tornado warning for east of grand rapids mi,Informative
if it werent for interruptions jesus wouldnt have had a ministry matt proctor president of ozark christian colle,Non-Informative
just remember if you are outside in a tornado you are screwed indoors think about bathtubmattress combo,Informative
watch needless to say im freaking out and the most important part of my survival kit is missing lt3,Informative
i checked sirens prob shouldnt have gone off in crete bc it was not in the tornado warning better safe than sorry ty,Informative
at west town mall helping out 931 jamz collect water for the tornado victims in joplin theyre here till 6 stop by a,Informative
everybody go in yall basements tornado coming lol,Informative
the tornado,Informative
the air smells of tornado,Informative
tornado watch now for entire metro area just issued,Informative
tornado sirens blaring in brookside but hail ended for now,Informative
i just heard the tornado sirens and at first was like dammit then remembered its the first wed of the month,Informative
that was some apocalyptic weather that just hit i thought that was an impromptu tornado,Informative
jefferson gallatin pope saline williamson jackson perry il all under tornado warnings now is the time to seek shelter,Informative
apparently we have no exclusivity the tornado watch is for all se ny,Informative
estas escuchando radio tiempo guillo te mencionã³ y dice q varias personas le han preguntado pero no sabe si hubo tornado,Non-Informative
how to help apartment communities affected by the tornado in mo via,Informative
the watch for parts of ky runs until 9pm cdt includes bowling green louisville paducah ft campbell franklin,Informative
comics for joplin tornado relief please rt consider donatinghelping if you can,Informative
praying for all the people who are under the tornado warnings right now please be safe and keep your head held up high youll make it,Informative
i took this earlier cross still stands above destroyed church,Informative
help disaster victims at,Informative
when the fuck has there been a tornado in nj,Non-Informative
tornado warning until 900 pm for desoto marshall and tate counties in mississippi,Informative
ramona was here when tornado hit,Non-Informative
in joplin missouri today to visit with those who lost so much in last weeks devastating tornado,Non-Informative
wow crazy pic from joplin mo â€œ google street view before and after shows tornados true destruction http,Informative
tornado sucks up a river,Informative
pray forâ at least 89 dead severe tstorms headed their way the front dipped below us in springfield last night,Informative
video true faith shown during joplin tornado,Informative
lookatgod ninety of the people unaccounted for after the joplin tornado have been located and are alive,Non-Informative
experience a 360 degree view of a 250mph tornado in nature unleashed inside natural disasters opening 528 wwwctsciencecenterorgnature,Informative
tornado warning issued for parts of daviess county in ky until 0945 pm ct,Informative
reported in the kansas city metro take cover in overland park leawood lenexa alert,Informative
anyone in area have photos of damage from yesterdays please send them to journalregistercom,Non-Informative
old rock house will donate 1 to heart of missouri united way for joplin tornado relief every time this is retweet,Informative
please retweet for my fellow missourians text redcross to 90999 to make a 10 donation to joplin tornado fund,Informative
the pet survivors of the need our help local company coordinating donations,Informative
documenting the devastation photos of from,Informative
new tornado warning for storm in springfieldchicopee heading east at 35mph warning into sw worcester county again ti thu jun 02 012550 ast 2011 lta href relnofollowgttwitter for androidltagt,Informative
breaking has upgraded joplin from ef4 to ef5 winds greater than 200 mph,Informative
incredible images of massachusetts tornado from space,Informative
another tornado in ok this one a halfmile wide more coming text redcross to 90999 to,Informative
eqecat predicts joplin tornado damage between 13 billion take a look at the radar image of the twister,Informative
us authorities confirm at least 89 killed after massive hits joplin southwest missouri,Informative
video of tornado crossing over i91 in springfield,Informative
ive just been told by a fellow tweeter that all should watch weather channel massive tornado outbreak,Informative
inside the missouri tornado video,Informative
a tornado warning for oakland county,Informative
help the respond in other states,Informative
unconfirmed reports out of ma from police scanner traffic of a neighborhood wiped out and numerous in,Informative
new meso tornado watch is likely just west of the tristate,Informative
breaking news we are streaming ktvi fox 2 coverage of st louis tornado live on our weather blog es,Informative
weather spotters confirm a tornado is on the ground moving toward joplin,Informative
heard these was a tornado in the chicago area fwiw,Informative
aprils tornado outbreak animation,Informative
tornado warning ended for hamilton still severe thunderstorm warnings,Informative
oh that could be it but be careful they just issued a tornado warning for all southeastern mi,Informative
damage from mpls estimated at 166m,Informative
tornado kills 89 in missouri,Informative
that killed 122 in joplin missouri was ef5 with top winds of 200 mph htt,Informative
check this video out water tornado blasts australia coast via,Informative
looking for somewhere to eat for lunch or dinner cicis pizza is donating 10 of sales to today,Informative
horrible more severe weather moving into tornadohit missouri area,Informative
fema now enroute to with imat team with full support team at the ready,Informative
a hero is the mother in w springfield who as the tornado came lay on top of her child in a tub child lived mother was killed,Informative
after a limit travel sightseeing can impede emergency response stay home stay,Informative
tornado warning ahhh,Informative
another tornado report now just west of seymour and north of us 50,Informative
avon responds to local communities affected by southern tornado disasters with avon cares tour established to h,Informative
sad news to report 3 more people passed away recently due to injuries sustained during the total fa,Informative
dog with two broken legs survives tornado crawls home to find family via,Informative
new high resolution imagery released of joplin high school posttornado joplin missouri,Informative
city manager says joplin tornado death toll rises to 125 no live rescues today ap,Informative
